id,Nombre,Apellido,Genero,Asignatura,Edad,Nota
142,Ragnar,Humbee,Beyblade,Backend,21,0.47
143,Nissa,Twelvetrees,Male,Backend,16,1.7
144,Conan,Rosenstein,Male,Backend,22,3.84
145,Ezechiel,Charte,Beyblade,Full-Stack,16,3.01
146,Alisa,Duchasteau,Female,Backend,19,0.4
147,Iggy,Thorold,Female,Backend,21,0.18
148,Margarita,Collingham,Female,Frontend,18,2.46
149,Odille,Prescott,Female,Full-Stack,17,2.55
150,Bobbye,Shallcross,Female,Backend,,1.32
151,Germain,Noods,Female,Backend,19,1.86
152,Carmon,Wildsmith,Beyblade,Backend,22,2.41
153,Quint,O'Gleasane,Beyblade,Frontend,18,0.82
154,Chelsea,De Domenici,Beyblade,Full-Stack,22,2.61
155,Minny,Guyot,Beyblade,Backend,22,2.61
156,Kayle,Garatty,Beyblade,Full-Stack,21,2.2
157,Caterina,Fuller,Beyblade,Frontend,22,0.45
158,Kyrstin,Pietri,Female,Frontend,18,3.86
159,Shawnee,Gruszczak,Beyblade,Backend,16,3.13
160,Pepito,Hurles,Female,Full-Stack,19,1.1
161,Prue,Vernham,Beyblade,Backend,20,3.65
162,Erinn,Raffeorty,Female,Backend,19,3.8
163,Lavinie,Dunlop,Beyblade,Backend,18,2.91
164,Georgi,Scamaden,Female,Full-Stack,19,2.12
165,Tansy,Satterley,Beyblade,Full-Stack,17,1.29
166,Natassia,Pulsford,Female,Full-Stack,,3.68
167,Julietta,Frondt,Beyblade,Backend,,1.51
168,Anthe,Le Leu,Female,Backend,22,2.77
169,Audre,Antonnikov,Female,Backend,19,2.9
170,Christoffer,Cowdray,Beyblade,Frontend,18,3.67
171,Massimo,Byatt,Male,Frontend,21,2.32
172,Bucky,Itzkovwitch,Female,Backend,19,0.05
173,Lion,Cullinane,Female,Backend,25,2.9
174,Lambert,Venning,Beyblade,Backend,,0.61
175,Curtice,Leggatt,Beyblade,Frontend,21,3.76
176,Helen,Mallinson,Female,Backend,20,2.36
177,Gene,Dishman,Female,Frontend,19,3.68
178,Cloris,Galbraith,Female,Backend,20,3.96
179,Culley,Jolly,Male,Backend,24,0.09
180,Terry,Bulman,Beyblade,Frontend,20,0.95
181,Willette,Ritmeyer,Female,Backend,23,0.63
182,Tirrell,Flintuff,Beyblade,Full-Stack,20,1.5
183,Samuel,Kendrick,Male,Frontend,24,1.79
184,Erin,Waghorne,Female,Frontend,18,
185,Athene,Caffrey,Male,Backend,18,3.5
186,Emmey,Castiglio,Female,Backend,24,
187,Colleen,Ketley,Female,Backend,24,1.84
188,Ossie,Greenstreet,Beyblade,Backend,23,3.96
189,Clara,Saker,Female,Backend,22,3.77
190,Anna,Pylkynyton,Beyblade,Backend,24,0.07
191,Bayard,Ayce,Beyblade,Full-Stack,17,3.3
192,Katine,Chesshire,Female,Frontend,21,3.35
193,Lev,Yggo,Male,Backend,18,3.55
194,Denys,Marcoolyn,Female,Backend,24,1.98
195,Daisy,McBrier,Beyblade,Backend,25,3.98
196,Sallyann,Crucetti,Beyblade,Backend,,0.3
197,Yorgos,Lipson,Beyblade,Backend,17,0.76
198,Sibyl,Najara,Female,Backend,22,2.21
199,Fern,Dottridge,Beyblade,Full-Stack,24,1.18
200,Lizbeth,Chapling,Male,Backend,22,1.54
201,Conney,M'Quhan,Beyblade,Frontend,24,3.83
202,Whitney,Tissington,Male,Backend,,2.35
203,Redd,Whistan,Male,Frontend,21,2.36
204,Sidney,Craigg,Beyblade,Frontend,23,1.59
205,Pacorro,Lapley,Female,Frontend,17,3.17
206,Danice,Katz,Female,Full-Stack,25,2.33
207,Hazel,Dyers,Beyblade,Frontend,22,3.12
208,Magdalena,Cowerd,Female,Frontend,25,0.78
209,Damien,Geggie,Beyblade,Frontend,25,0.79
210,Viole,Nazareth,Female,Full-Stack,17,0.26
211,Dinnie,Eastham,Female,Full-Stack,16,1.84
212,Bentlee,Castillo,Beyblade,Frontend,22,0.11
213,Jamison,Fumagalli,Female,Backend,24,1.17
214,Turner,Grealey,Beyblade,Backend,20,3.39
215,Adolf,Croucher,Female,Backend,17,1.04
216,Damaris,Spada,Beyblade,Frontend,23,1.61
217,Benedikta,Tonkin,Beyblade,Backend,21,0.08
218,Lani,Letch,Male,Frontend,24,0.04
219,Dallis,Capron,Female,Frontend,25,3.05
220,Ashla,Gater,Male,Backend,22,0.54
221,Hernando,Counsell,Beyblade,Backend,22,3.12
222,Felice,Pickover,Male,Frontend,21,
223,Johna,Jandac,Male,Backend,18,1.42
224,Garrik,Dorian,Beyblade,Full-Stack,23,3.61
225,Darnell,Pluvier,Male,Frontend,16,2.67
226,Umeko,Northeast,Female,Frontend,17,3.34
227,Anderson,Chapelle,Male,Backend,16,1.22
228,Donnie,Orviss,Beyblade,Full-Stack,22,1.34
229,Helena,Cocking,Beyblade,Full-Stack,19,3.54
230,Dieter,Goulder,Male,Backend,23,0.02
231,Davidson,Postgate,Female,Backend,23,3.5
232,Reinaldos,Gantz,Beyblade,Frontend,20,0.11
233,Kasper,Bothram,Beyblade,Full-Stack,19,3.79
234,Leonerd,Lesser,Female,Frontend,23,0.74
235,Dolf,Yurygyn,Female,Frontend,20,1.2
236,Dode,Tivenan,Beyblade,Backend,22,3.93
237,Grete,Kender,Beyblade,Backend,19,0.85
238,Minor,Allcott,Female,Frontend,25,3.45
239,Aldis,Sprowles,Beyblade,Backend,23,3.41
240,Mildred,Danielsson,Female,Full-Stack,16,2.91
241,Maybelle,Garling,Male,Backend,19,1.59
242,Fara,Cejka,Beyblade,Backend,25,1.48
243,Roz,Dobell,Male,Frontend,23,1.05
244,Caprice,Swaine,Beyblade,Frontend,16,1.14
245,Penny,Richens,Beyblade,Frontend,24,0.14
246,Ludovico,Vondruska,Beyblade,Frontend,20,0.15
247,Jeanie,McAree,Beyblade,Backend,22,0.55
248,Milena,Cotterel,Beyblade,Backend,24,2.14
249,Janice,Stile,Beyblade,Backend,23,2.58
250,Margarete,Clissett,Female,Frontend,22,2.91
251,Leoine,Booij,Beyblade,Frontend,18,0.24
252,Blisse,Clemes,Beyblade,Backend,25,
253,Moyra,Peeters,Beyblade,Full-Stack,18,2.8
254,Tim,Pigny,Female,Frontend,25,0.17
255,Mahmud,Eady,Beyblade,Backend,25,
256,Ingaberg,Zimmermanns,Beyblade,Backend,24,3.25
257,Correy,Pollastrino,Female,Frontend,20,0.5
258,Gordon,Coare,Male,Frontend,17,1.72
259,Lothario,Tiery,Female,Backend,18,2.09
260,Hagan,Kydd,Male,Full-Stack,25,1.72
261,Claiborn,Reddan,Beyblade,Backend,24,2.05
262,Ham,Tapson,Beyblade,Frontend,16,0.17
263,Aleda,Bamlet,Beyblade,Full-Stack,20,0.03
264,Vanda,Becerra,Beyblade,Backend,20,0.79
265,Sheelah,Stoltz,Female,Frontend,19,2.59
266,Ricky,Fiddeman,Male,Frontend,24,1.38
267,Josselyn,Mazzeo,Beyblade,Frontend,21,1.83
268,Hadleigh,Jagger,Beyblade,Frontend,,0.54
269,Blanche,Ruger,Beyblade,Backend,21,1.03
270,Ealasaid,Millan,Beyblade,Frontend,24,0.18
271,Graeme,McPeeters,Beyblade,Frontend,22,0.16
272,Sandro,Gibbins,Beyblade,Frontend,25,
273,Lou,Grady,Female,Backend,25,
274,Marabel,Pentlow,Male,Frontend,23,
275,Mata,Grimes,Beyblade,Frontend,23,2.56
276,Sofia,Darrington,Male,Full-Stack,22,0.52
277,Christel,Howieson,Beyblade,Full-Stack,20,1.99
278,Bronnie,Penvarne,Beyblade,Frontend,23,3.24
279,Shannen,Plunket,Male,Frontend,19,3.41
280,Isobel,Cansdale,Female,Backend,16,0.88
281,Caz,Panons,Beyblade,Backend,19,0.46
282,Durand,Presnail,Beyblade,Backend,21,1.67
283,Kassi,Pickford,Beyblade,Frontend,17,3.93
284,Ive,Attwell,Male,Frontend,,3.98
285,Melany,Eddies,Beyblade,Backend,20,3.37
286,Correna,Stevings,Female,Frontend,,1.55
287,Collen,Divina,Beyblade,Backend,25,2.55
288,Jodi,Shorrock,Beyblade,Full-Stack,23,2.35
289,Gustavus,Cheevers,Female,Backend,25,1.6
290,Lanna,Parcall,Beyblade,Backend,24,2.68
291,Kaycee,Dunklee,Beyblade,Backend,21,0.99
292,Johna,Dearlove,Female,Backend,23,3.36
293,Phillida,Gerrish,Beyblade,Backend,16,2.26
294,Lorettalorna,Eddisford,Female,Frontend,24,0.32
295,Chris,Alvar,Beyblade,Backend,16,3.98
296,Francklin,Waple,Beyblade,Frontend,20,2.16
297,Amalita,Triggle,Beyblade,Backend,22,2.11
298,Astra,Ericssen,Male,Full-Stack,20,2.85
299,Court,Scandroot,Male,Backend,20,1.66
300,Reuven,Piffe,Beyblade,Frontend,21,1.32
301,Jeramey,Kellett,Male,Backend,20,
302,Tallie,Lefeaver,Beyblade,Frontend,21,2.08
303,Juliet,Dasent,Male,Backend,16,1.32
304,Lilia,Brunon,Beyblade,Backend,25,2.73
305,Nelly,Tomalin,Female,Backend,20,2.26
306,Leigh,Demare,Male,Backend,25,0.33
307,Melosa,Pariso,Beyblade,Full-Stack,17,0.35
308,Padraic,Manjot,Beyblade,Frontend,16,1.57
309,Fraze,Fluit,Female,Backend,16,0.72
310,Lodovico,Inchley,Beyblade,Frontend,20,3.54
311,Joete,Union,Beyblade,Frontend,18,2.84
312,Rosco,Treadgall,Beyblade,Full-Stack,23,3.35
313,Essy,Benmore,Beyblade,Frontend,24,3.71
314,Hashim,Gostyke,Beyblade,Backend,24,1.07
315,Mallissa,Pandya,Beyblade,Backend,24,
316,Gillan,Gwynn,Female,Backend,22,2.94
317,Domini,Munt,Beyblade,Frontend,22,2.7
318,Dagny,Petford,Beyblade,Backend,25,1.14
319,Lorrie,Ebi,Beyblade,Backend,,3.77
320,Kevyn,Knightly,Beyblade,Backend,18,
321,Darcey,Shepherd,Beyblade,Backend,,2.14
322,Aldis,Zuanelli,Beyblade,Frontend,17,
323,Magnum,Ching,Beyblade,Backend,19,0.02
324,Gui,Kruse,Male,Backend,21,0.96
325,Hercule,Euston,Female,Backend,17,0.46
326,Jdavie,Williscroft,Female,Backend,24,
327,Terri,Maltby,Male,Full-Stack,20,2.4
328,Keir,Heinel,Beyblade,Full-Stack,23,0.62
329,Karisa,Ardron,Beyblade,Backend,,2.11
330,Price,Sivewright,Beyblade,Backend,19,0.66
331,Klement,Ord,Male,Backend,21,1.82
332,Wallache,Stratley,Beyblade,Backend,18,0.65
333,Dick,Sergent,Beyblade,Backend,21,3.7
334,Sibby,Whithorn,Beyblade,Backend,20,
335,Karena,Meeks,Female,Full-Stack,24,1.07
336,Rube,Rookwell,Beyblade,Backend,24,1.43
337,Lucien,O' Dooley,Female,Backend,16,0.69
338,Corrinne,Dulson,Male,Full-Stack,21,
339,Sharline,Brantzen,Female,Full-Stack,19,0.64
340,Gottfried,Erskine,Beyblade,Backend,19,3.54
341,Isobel,Robroe,Female,Backend,24,1.0
342,Betteanne,Luigi,Male,Backend,25,2.24
343,Hewett,Hulke,Beyblade,Frontend,17,3.73
344,Anabelle,Bradberry,Beyblade,Full-Stack,22,2.14
345,Ilyssa,Wolstenholme,Female,Frontend,23,2.53
346,Nikolas,Kermott,Beyblade,Backend,16,2.14
347,Caron,Staynes,Beyblade,Backend,20,1.53
348,Leigh,Tonge,Beyblade,Backend,19,3.92
349,Smitty,Chavey,Beyblade,Backend,25,0.61
350,Jillana,Somerfield,Beyblade,Full-Stack,20,3.3
351,Erena,Sebborn,Beyblade,Full-Stack,25,2.92
352,Slade,Butte,Male,Full-Stack,,3.72
353,Nicky,Eard,Beyblade,Frontend,24,2.48
354,Benoit,Sinyard,Beyblade,Frontend,24,1.76
355,Warde,Python,Female,Frontend,22,0.15
356,Harlin,MacEveley,Male,Frontend,17,0.5
357,Oran,Pedwell,Female,Backend,25,
358,Yolanthe,Cleghorn,Beyblade,Full-Stack,16,2.67
359,Ricky,Marchenko,Beyblade,Backend,16,1.22
360,Callida,Kaygill,Female,Frontend,18,3.21
361,Augy,Churchyard,Female,Frontend,18,3.03
362,Marisa,Chamberlain,Beyblade,Backend,23,
363,Krisha,Vispo,Male,Full-Stack,17,3.52
364,Ronalda,Nutting,Male,Frontend,19,2.07
365,Adriena,Newgrosh,Beyblade,Full-Stack,23,2.7
366,Hinda,Pallant,Male,Backend,16,2.64
367,Anestassia,Bolam,Beyblade,Backend,,1.66
368,Cristi,Korba,Beyblade,Full-Stack,23,3.22
369,Ebeneser,Dally,Beyblade,Full-Stack,18,
370,Marcelle,Measey,Male,Backend,17,1.32
371,Editha,Glisenan,Beyblade,Full-Stack,22,1.04
372,Jerry,Cumberlidge,Female,Backend,24,3.52
373,Jennine,Scandrett,Beyblade,Frontend,20,0.34
374,Clareta,Maceur,Female,Frontend,16,1.92
375,Valry,MacGregor,Beyblade,Backend,,3.87
376,Dasi,Kropach,Male,Backend,,
377,Tally,Gookey,Beyblade,Backend,20,2.18
378,Luke,Mincher,Male,Full-Stack,,3.97
379,Sampson,Alexsandrovich,Female,Backend,21,1.8
380,Terrie,Galway,Male,Frontend,20,3.92
381,Brittni,Schindler,Beyblade,Frontend,23,3.63
382,Cthrine,Grunbaum,Female,Backend,23,1.2
383,Lyman,Wherrit,Beyblade,Frontend,24,0.74
384,Emmy,Bolderson,Beyblade,Backend,24,0.27
385,Hermina,Dracksford,Beyblade,Frontend,19,3.35
386,Farlee,Eingerfield,Male,Backend,20,0.5
387,Hoyt,Enoksson,Male,Full-Stack,16,0.75
388,Amie,Eldred,Male,Backend,18,3.05
389,Umberto,Withrop,Male,Backend,22,0.94
390,Helge,Phifer,Beyblade,Full-Stack,25,
391,Jan,Issett,Female,Backend,24,0.29
392,Kimmy,Gaymer,Beyblade,Backend,22,0.92
393,Theodore,Rapsey,Beyblade,Backend,,0.43
394,Jillie,Kinsell,Female,Backend,17,2.97
395,Quinton,Fallon,Female,Frontend,18,0.57
396,Rice,Hourihane,Beyblade,Full-Stack,22,2.68
397,Delphine,Dreghorn,Male,Frontend,21,3.23
398,Brett,Brownsall,Male,Full-Stack,19,2.86
399,Ivory,Cadwaladr,Beyblade,Frontend,16,3.43
400,Nanice,Tabour,Beyblade,Backend,17,3.36
401,Pooh,Dyball,Female,Full-Stack,18,0.33
402,Rockie,Craisford,Beyblade,Frontend,18,3.25
403,Fawne,Christall,Beyblade,Full-Stack,17,3.72
404,Pall,Whittle,Female,Full-Stack,16,3.04
405,Turner,Epilet,Beyblade,Backend,16,0.19
406,Feliks,Hanlon,Beyblade,Backend,22,3.67
407,Brion,Ambrozik,Male,Backend,16,
408,Roselia,Jovasevic,Male,Backend,21,1.32
409,Verge,Coulthard,Beyblade,Frontend,24,0.14
410,Tommie,Camel,Beyblade,Full-Stack,25,1.66
411,Pippo,Shropsheir,Beyblade,Frontend,17,3.04
412,Merrily,Porritt,Male,Full-Stack,17,1.28
413,Wendi,Nuzzti,Male,Backend,16,0.17
414,Marcia,Zouch,Male,Full-Stack,,1.83
415,Zaccaria,Dwire,Beyblade,Frontend,16,2.19
416,Giffy,Slot,Beyblade,Backend,21,0.24
417,Kyla,Esmead,Beyblade,Full-Stack,17,3.18
418,Delora,Guillet,Female,Backend,16,1.75
419,Burton,Bourget,Beyblade,Backend,22,3.84
420,Cchaddie,Abelson,Beyblade,Backend,22,1.88
421,Krissy,Jeandon,Beyblade,Backend,22,0.1
422,Sallyanne,Grzelewski,Male,Backend,19,1.36
423,Boyce,Siseland,Male,Full-Stack,23,0.35
424,Andie,Forbear,Beyblade,Frontend,17,3.79
425,Giffy,Semiras,Female,Frontend,21,2.47
426,Normy,Sisson,Beyblade,Frontend,21,3.67
427,Hirsch,Rush,Beyblade,Full-Stack,16,2.91
428,Ilaire,Regi,Female,Full-Stack,,0.71
429,Thaxter,Brewood,Male,Backend,25,0.62
430,Rog,Bigmore,Beyblade,Backend,22,2.68
431,Bartholomeus,Waddington,Female,Full-Stack,25,0.35
432,Marven,Thornbarrow,Beyblade,Frontend,22,
433,Ingeborg,Kensington,Female,Frontend,19,1.48
434,Dino,Le Pine,Female,Backend,18,1.93
435,Eugenio,Dugget,Female,Full-Stack,24,2.61
436,Chickie,Stringfellow,Beyblade,Frontend,24,3.21
437,Cullie,Colquit,Beyblade,Frontend,24,0.13
438,Marthena,Morkham,Male,Frontend,23,0.9
439,Catherina,Grizard,Female,Backend,22,3.38
440,Georgie,Hegel,Female,Backend,22,3.68
441,Thornton,Strahan,Beyblade,Frontend,17,
442,Dusty,Hammill,Male,Backend,19,1.64
443,Timothy,Siggery,Beyblade,Frontend,21,2.57
444,Mitchel,Mulrean,Female,Backend,22,0.81
445,Bail,Bohje,Beyblade,Frontend,24,0.93
446,Cornell,Wrench,Male,Frontend,19,2.75
447,Cecilio,Jedrych,Beyblade,Full-Stack,24,1.89
448,Libbie,De Filippis,Female,Frontend,24,0.12
449,Andy,Darrigrand,Female,Frontend,24,1.43
450,Willie,Gaines,Male,Backend,24,2.04
451,Ruth,Mack,Beyblade,Backend,21,
452,Selia,Gowdridge,Beyblade,Backend,22,0.79
453,Darryl,Wederell,Female,Full-Stack,22,3.29
454,Field,Goldes,Beyblade,Backend,16,3.46
455,Edward,Laurant,Beyblade,Backend,25,2.05
456,Blanch,Chanson,Beyblade,Backend,24,3.86
457,Tildy,Bonsale,Female,Backend,,0.47
458,Jamie,Baudinet,Beyblade,Backend,25,3.32
459,Marietta,Dobson,Female,Full-Stack,18,3.82
460,Johannes,Laudham,Beyblade,Frontend,22,2.66
461,Nataniel,Lapenna,Female,Backend,24,1.05
462,Gracia,Philpin,Male,Frontend,22,1.94
463,Adamo,Gillicuddy,Female,Backend,21,
464,Brigham,Philbin,Male,Frontend,22,0.91
465,Carlee,Rivallant,Beyblade,Backend,21,0.14
466,Zorana,Crielly,Female,Frontend,16,0.27
467,Graehme,Strodder,Beyblade,Backend,17,1.22
468,Willdon,Hassin,Male,Backend,25,0.78
469,Lynde,Fairfull,Beyblade,Backend,20,3.81
470,Creigh,Lightowlers,Male,Frontend,25,0.17
471,Ulrick,Rosel,Male,Backend,22,3.6
472,Caril,Cleobury,Beyblade,Frontend,20,1.82
473,Adlai,Golt,Beyblade,Backend,25,2.31
474,Margalo,Gilston,Male,Frontend,25,0.7
475,Aksel,Millett,Female,Frontend,18,1.78
476,Katya,Mourbey,Beyblade,Backend,19,3.8
477,Eugen,Corkan,Beyblade,Backend,,1.87
478,Wendeline,Shird,Female,Frontend,17,0.09
479,Cleve,Jutson,Beyblade,Full-Stack,22,2.85
480,Trey,Strahan,Beyblade,Backend,25,3.14
481,Abe,Flather,Beyblade,Full-Stack,16,0.08
482,Dorris,MacGuffie,Beyblade,Backend,23,1.66
483,Gabriel,Cargenven,Female,Backend,25,1.24
484,Archibold,Tight,Female,Backend,22,3.33
485,Guy,Gaukrodge,Female,Full-Stack,20,0.06
486,Bradan,Pim,Female,Frontend,25,0.39
487,Cherilyn,O'Cuddie,Beyblade,Backend,19,0.23
488,Deva,Tester,Beyblade,Full-Stack,16,2.11
489,Eugene,Andrys,Female,Frontend,24,
490,Jannelle,Pinkard,Beyblade,Backend,21,1.38
491,Mayer,Escreet,Beyblade,Backend,22,3.79
492,Jaquenetta,Benninger,Beyblade,Frontend,25,1.26
493,Lissie,Kynder,Beyblade,Full-Stack,25,0.61
494,Edythe,Asbury,Female,Frontend,22,1.01
495,Reeva,Jadczak,Male,Backend,18,1.36
496,Zulema,Ferens,Female,Backend,20,1.61
497,Elayne,Croot,Female,Full-Stack,22,3.49
498,Maryjane,Ebrall,Beyblade,Backend,18,0.36
499,Akim,MacKeague,Male,Backend,17,0.36
500,Serena,Lamboll,Female,Frontend,22,2.36
501,Florry,Chippindall,Male,Full-Stack,22,3.81
502,Elton,Stockwell,Beyblade,Frontend,16,3.23
503,Enid,Alcott,Female,Backend,24,2.16
504,Teressa,Geeves,Beyblade,Frontend,19,1.94
505,Loria,Rawdall,Beyblade,Backend,23,0.5
506,Odella,McGraffin,Beyblade,Backend,22,0.59
507,Gwenore,Gurry,Male,Frontend,16,1.21
